Time,Event
00:17:53,WARNING: Phone detected for over 8 seconds
00:17:53,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:54,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:55,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:56,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:57,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:17:58,WARNING: Phone detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:18,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:19,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:20,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
00:18:21,WARNING: Multiple people detected for over 8 seconds
